Coxim (Rio Taquari): 66870000
Data e hora,Nível,Vazão
2022-03-17T04:00:00.000Z,404,311.92
2022-03-17T04:15:00.000Z,404,311.92
2022-03-17T04:30:00.000Z,404,311.92
2022-03-17T04:45:00.000Z,404,311.92
2022-03-17T05:00:00.000Z,404,311.92
2022-03-17T05:15:00.000Z,404,311.92
2022-03-17T05:30:00.000Z,404,311.92
2022-03-17T05:45:00.000Z,404,311.92
2022-03-17T06:00:00.000Z,404,311.92
2022-03-17T06:15:00.000Z,404,311.92
2022-03-17T06:30:00.000Z,404,311.92
2022-03-17T06:45:00.000Z,403,308.67
2022-03-17T07:00:00.000Z,404,311.92
2022-03-17T07:15:00.000Z,403,308.67
2022-03-17T07:30:00.000Z,403,308.67
2022-03-17T07:45:00.000Z,403,308.67
2022-03-17T08:00:00.000Z,403,308.67
2022-03-17T08:15:00.000Z,403,308.67
2022-03-17T08:30:00.000Z,403,308.67
2022-03-17T08:45:00.000Z,403,308.67
2022-03-17T09:00:00.000Z,403,308.67
2022-03-17T09:15:00.000Z,403,308.67
2022-03-17T09:30:00.000Z,403,308.67
2022-03-17T09:45:00.000Z,403,308.67
2022-03-17T10:00:00.000Z,403,308.67
2022-03-17T10:15:00.000Z,403,308.67
2022-03-17T10:30:00.000Z,403,308.67
2022-03-17T10:45:00.000Z,403,308.67
2022-03-17T11:00:00.000Z,403,308.67
2022-03-17T11:15:00.000Z,403,308.67
2022-03-17T11:30:00.000Z,403,308.67
2022-03-17T11:45:00.000Z,403,308.67
2022-03-17T12:00:00.000Z,403,308.67
2022-03-17T12:15:00.000Z,403,308.67
2022-03-17T12:30:00.000Z,403,308.67
2022-03-17T12:45:00.000Z,402,305.43
2022-03-17T13:00:00.000Z,403,308.67
2022-03-17T13:15:00.000Z,403,308.67
2022-03-17T13:30:00.000Z,402,305.43
2022-03-17T13:45:00.000Z,402,305.43
2022-03-17T14:00:00.000Z,403,308.67
2022-03-17T14:15:00.000Z,402,305.43
2022-03-17T14:30:00.000Z,402,305.43
2022-03-17T14:45:00.000Z,402,305.43
2022-03-17T15:00:00.000Z,402,305.43
2022-03-17T15:15:00.000Z,402,305.43
2022-03-17T15:30:00.000Z,402,305.43
2022-03-17T15:45:00.000Z,402,305.43
2022-03-17T16:00:00.000Z,402,305.43
2022-03-17T16:15:00.000Z,402,305.43
2022-03-17T16:30:00.000Z,402,305.43
2022-03-17T16:45:00.000Z,402,305.43
2022-03-17T17:00:00.000Z,402,305.43
2022-03-17T17:15:00.000Z,402,305.43
2022-03-17T17:30:00.000Z,402,305.43
2022-03-17T17:45:00.000Z,402,305.43
2022-03-17T18:00:00.000Z,402,305.43
2022-03-17T18:15:00.000Z,402,305.43
2022-03-17T18:30:00.000Z,402,305.43
2022-03-17T18:45:00.000Z,402,305.43
2022-03-17T19:00:00.000Z,402,305.43
2022-03-17T19:15:00.000Z,402,305.43
2022-03-17T19:30:00.000Z,402,305.43
2022-03-17T19:45:00.000Z,402,305.43
2022-03-17T20:00:00.000Z,402,305.43
2022-03-17T20:15:00.000Z,402,305.43
2022-03-17T20:30:00.000Z,402,305.43
2022-03-17T20:45:00.000Z,402,305.43
2022-03-17T21:00:00.000Z,402,305.43
2022-03-17T21:15:00.000Z,402,305.43
2022-03-17T21:30:00.000Z,402,305.43
2022-03-17T21:45:00.000Z,402,305.43
2022-03-17T22:00:00.000Z,402,305.43
2022-03-17T22:15:00.000Z,402,305.43
2022-03-17T22:30:00.000Z,402,305.43
2022-03-17T22:45:00.000Z,402,305.43
2022-03-17T23:00:00.000Z,401,302.22
2022-03-17T23:15:00.000Z,402,305.43
2022-03-17T23:30:00.000Z,402,305.43
2022-03-17T23:45:00.000Z,402,305.43
2022-03-18T00:00:00.000Z,402,305.43
2022-03-18T00:15:00.000Z,402,305.43
2022-03-18T00:30:00.000Z,402,305.43
2022-03-18T00:45:00.000Z,402,305.43
2022-03-18T01:00:00.000Z,402,305.43
2022-03-18T01:15:00.000Z,402,305.43
2022-03-18T01:30:00.000Z,402,305.43
2022-03-18T01:45:00.000Z,402,305.43
2022-03-18T02:00:00.000Z,402,305.43
2022-03-18T02:15:00.000Z,402,305.43
2022-03-18T02:30:00.000Z,402,305.43
2022-03-18T02:45:00.000Z,402,305.43
2022-03-18T03:00:00.000Z,402,305.43
2022-03-18T03:15:00.000Z,402,305.43
2022-03-18T03:30:00.000Z,402,305.43
2022-03-18T03:45:00.000Z,402,305.43
2022-03-18T04:00:00.000Z,402,305.43
2022-03-18T04:15:00.000Z,403,308.67
2022-03-18T04:30:00.000Z,403,308.67
2022-03-18T04:45:00.000Z,403,308.67
2022-03-18T05:00:00.000Z,403,308.67
2022-03-18T05:15:00.000Z,403,308.67
2022-03-18T05:30:00.000Z,404,311.92
2022-03-18T05:45:00.000Z,404,311.92
2022-03-18T06:00:00.000Z,404,311.92
2022-03-18T06:15:00.000Z,405,315.2
2022-03-18T06:30:00.000Z,405,315.2
2022-03-18T06:45:00.000Z,405,315.2
2022-03-18T07:00:00.000Z,405,315.2
2022-03-18T07:15:00.000Z,406,318.5
2022-03-18T07:30:00.000Z,406,318.5
2022-03-18T07:45:00.000Z,406,318.5
2022-03-18T08:00:00.000Z,406,318.5
2022-03-18T08:15:00.000Z,406,318.5
2022-03-18T08:30:00.000Z,406,318.5
2022-03-18T08:45:00.000Z,406,318.5
2022-03-18T09:00:00.000Z,406,318.5
2022-03-18T09:15:00.000Z,406,318.5
2022-03-18T09:30:00.000Z,407,321.82
2022-03-18T09:45:00.000Z,407,321.82
2022-03-18T10:00:00.000Z,407,321.82
2022-03-18T10:15:00.000Z,406,318.5
2022-03-18T10:30:00.000Z,407,321.82
2022-03-18T10:45:00.000Z,407,321.82
2022-03-18T11:00:00.000Z,407,321.82
2022-03-18T11:15:00.000Z,407,321.82
2022-03-18T11:30:00.000Z,407,321.82
2022-03-18T11:45:00.000Z,406,318.5
2022-03-18T12:00:00.000Z,406,318.5
2022-03-18T12:15:00.000Z,406,318.5
2022-03-18T12:30:00.000Z,406,318.5
2022-03-18T12:45:00.000Z,406,318.5
2022-03-18T13:00:00.000Z,406,318.5
2022-03-18T13:15:00.000Z,406,318.5
2022-03-18T13:30:00.000Z,406,318.5
2022-03-18T13:45:00.000Z,406,318.5
2022-03-18T14:00:00.000Z,405,315.2
2022-03-18T14:15:00.000Z,405,315.2
2022-03-18T14:30:00.000Z,405,315.2
2022-03-18T14:45:00.000Z,405,315.2
2022-03-18T15:00:00.000Z,405,315.2
2022-03-18T15:15:00.000Z,405,315.2
2022-03-18T15:30:00.000Z,405,315.2
2022-03-18T15:45:00.000Z,405,315.2
2022-03-18T16:00:00.000Z,405,315.2
2022-03-18T16:15:00.000Z,405,315.2
2022-03-18T16:30:00.000Z,405,315.2
2022-03-18T16:45:00.000Z,405,315.2
2022-03-18T17:00:00.000Z,404,311.92
2022-03-18T17:15:00.000Z,405,315.2
2022-03-18T17:30:00.000Z,404,311.92
2022-03-18T17:45:00.000Z,404,311.92
